chain,video_id,title,channel,comment,likes
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,You were soooo right about the potatoes on a stick. A giant NO from me. 🫤,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Agreed, the Aged Goat cheese is great of you like those hard, nutty cheese with light crystals. Really enjoyed.  Oh, yup, their whipped cream cheese is good too, and a good price.",0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"<a href=""https://www.youtube.com/watch?v=cNY5d4izkXE&amp;t=104"">1:44</a> I got the teeny tiny peaches and they were a hit with my toddler. The pit is small but it’s still not a large fruit - he wanted 2 of them. But they were pretty sweet and juicy for off-seasons peaches and were ripe at time of purchase.",7
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I love your grocery visits &amp; so appreciate you taking things home &amp; trying them. I value your reviews,5
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Great video, after beginning the video I ran down to  2 different Trader Joes and got the purple cooler bags I&#39;ve been waiting for, now I just need the mini ones.",3
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Your zipper lost it&#39;s zip!😂,6
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"The thai wheat noodles are my favorite item at TJs.  I need that tote bag,  I was born in 1967, hope we have it here in NJ",2
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"It all looked so delicious. Tfs, we all appreciate you. Stay well. 🌞⭐💛",1
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,That dish looks good. I just love your idea&#39;s...really needed here since the kids moved out.,1
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I really enjoy your podcasts.😁,0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I love my flex mixer “blade” for my kitchen aid. Life saver.,1
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Thank you Gina 🙌🏼😄 just picked up my lavender bag and peaches 🍑😃🙌🏼🙏🏼 I love the brighter color .,0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,All their scones are good. I love everything lemony🍋🍋🍋,5
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Thanks for sharing your meal preparations, Gina. You have some great  ideas!",3
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"I buy the vanilla bean scones everytime I go to TJs. I shouldn&#39;t 😂😂,  but I don&#39;t  get to TJs very often. They are really good. I can&#39;t pass on a good scone.",12
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,love the recipe ideas!!!,0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,thanks for taking us along....love the coconut amino sauce with balsamic vinegar as a quick and easy salad dressing. TJ has some surprising good items every time I shop there.,0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Another great video, Gina! I love cookies straight from the oven also...looks delicious! 😋",0
trader_joes,cNY5d4izkXE,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL 2026! (4/21)✨️ PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Might be time for a trip to TJ&#39;s.  I like some of their spice options, and the roasted sesame oil is fantastic.  The fish nuggets and frozen mac and cheese were also good, but it has been years, so time to try them again.",0
